Timestamp,Rank,TrendPhrase
2014/04/23 07:34:20,1,#500club
2014/04/23 07:34:20,2,Wrigley Field
2014/04/23 07:34:20,3,FCAT
2014/04/23 07:34:20,4,#4DaysUntilProblem
2014/04/23 07:34:20,5,#myNYPD
2014/04/23 07:34:20,6,Dunkin
2014/04/23 07:34:20,7,#OrangeRoom
2014/04/23 07:34:20,8,#GreenTVShows
2014/04/23 07:34:20,9,William Shakespeare
2014/04/23 07:34:20,10,Juniors
2014/04/23 07:34:51,1,#500club
2014/04/23 07:34:51,2,#AskTroye
2014/04/23 07:34:51,3,FCAT
2014/04/23 07:34:51,4,#4DaysUntilProblem
2014/04/23 07:34:51,5,Dunkin
2014/04/23 07:34:51,6,Florida
2014/04/23 07:34:51,7,#OrangeRoom
2014/04/23 07:34:51,8,#GreenTVShows
2014/04/23 07:34:51,9,William Shakespeare
2014/04/23 07:34:51,10,New York
2014/04/23 07:35:21,1,#500club
2014/04/23 07:35:21,2,FCAT
2014/04/23 07:35:21,3,#4DaysUntilProblem
2014/04/23 07:35:21,4,Dunkin
2014/04/23 07:35:21,5,Florida
2014/04/23 07:35:21,6,#OrangeRoom
2014/04/23 07:35:21,7,#GreenTVShows
2014/04/23 07:35:21,8,William Shakespeare
2014/04/23 07:35:21,9,#HumpDay
2014/04/23 07:35:21,10,New York
2014/04/23 07:35:51,1,#500club
2014/04/23 07:35:51,2,Wrigley Field
2014/04/23 07:35:51,3,FCAT
2014/04/23 07:35:51,4,#4DaysUntilProblem
2014/04/23 07:35:51,5,#OrangeRoom
2014/04/23 07:35:51,6,#GreenTVShows
2014/04/23 07:35:51,7,William Shakespeare
2014/04/23 07:35:51,8,#HumpDay
2014/04/23 07:35:51,9,Singing Baby in Japan
2014/04/23 07:35:51,10,Juniors
2014/04/23 07:36:22,1,#500club
2014/04/23 07:36:22,2,FCAT
2014/04/23 07:36:22,3,#4DaysUntilProblem
2014/04/23 07:36:22,4,Dunkin
2014/04/23 07:36:22,5,Florida
2014/04/23 07:36:22,6,#OrangeRoom
2014/04/23 07:36:22,7,#GreenTVShows
2014/04/23 07:36:22,8,William Shakespeare
2014/04/23 07:36:22,9,#HumpDay
2014/04/23 07:36:22,10,New York
2014/04/23 07:36:52,1,#500club
2014/04/23 07:36:52,2,FCAT
2014/04/23 07:36:52,3,#4DaysUntilProblem
2014/04/23 07:36:52,4,Dunkin
2014/04/23 07:36:52,5,Florida
2014/04/23 07:36:52,6,#OrangeRoom
2014/04/23 07:36:52,7,#GreenTVShows
2014/04/23 07:36:52,8,William Shakespeare
2014/04/23 07:36:52,9,#HumpDay
2014/04/23 07:36:52,10,New York
2014/04/23 07:37:23,1,#500club
2014/04/23 07:37:23,2,FCAT
2014/04/23 07:37:23,3,#4DaysUntilProblem
2014/04/23 07:37:23,4,Dunkin
2014/04/23 07:37:23,5,Florida
2014/04/23 07:37:23,6,#OrangeRoom
2014/04/23 07:37:23,7,#GreenTVShows
2014/04/23 07:37:23,8,William Shakespeare
2014/04/23 07:37:23,9,#HumpDay
2014/04/23 07:37:23,10,New York
2014/04/23 07:37:53,1,#500club
2014/04/23 07:37:53,2,FCAT
2014/04/23 07:37:53,3,#4DaysUntilProblem
2014/04/23 07:37:53,4,Dunkin
2014/04/23 07:37:53,5,Florida
2014/04/23 07:37:53,6,#OrangeRoom
2014/04/23 07:37:53,7,#GreenTVShows
2014/04/23 07:37:53,8,William Shakespeare
2014/04/23 07:37:53,9,#HumpDay
2014/04/23 07:37:53,10,New York
2014/04/23 07:38:24,1,#500club
2014/04/23 07:38:24,2,FCAT
