index,Timestamp,Rank,TrendPhrase
1,2014/04/24 23:10:12,1,Saw 7
1,2014/04/24 23:10:12,2,#WWATOURSTARTSTOMORROW
1,2014/04/24 23:10:12,3,Kevin Durant is 1 for 13
1,2014/04/24 23:10:12,4,#HappyBDayMrsEspinosa
1,2014/04/24 23:10:12,5,2-1 Memphis
1,2014/04/24 23:10:12,6,2-0 Wild
1,2014/04/24 23:10:12,7,#letniallsleep
1,2014/04/24 23:10:12,8,Cara Maria
1,2014/04/24 23:10:12,9,#3DaysUntilProblem
1,2014/04/24 23:10:12,10,#ouchcouch
2,2014/04/24 23:15:12,1,Up 3-1
2,2014/04/24 23:15:12,2,Saw 7
2,2014/04/24 23:15:12,3,BRUH Direct TV
2,2014/04/24 23:15:12,4,Pacers and Thunder
2,2014/04/24 23:15:12,5,#HappyBDayMrsEspinosa
2,2014/04/24 23:15:12,6,#VivirMiVida
2,2014/04/24 23:15:12,7,#letniallsleep
2,2014/04/24 23:15:12,8,#weloveyouliam
2,2014/04/24 23:15:12,9,3-2 in OT
2,2014/04/24 23:15:12,10,#ouchcouch
3,2014/04/24 23:24:28,1,#whereislavernecox
3,2014/04/24 23:24:28,2,#HappyBDayMrsEspinosa
3,2014/04/24 23:24:28,3,Blue Hill Avenue
3,2014/04/24 23:24:28,4,These Fire
3,2014/04/24 23:24:28,5,#letniallsleep
3,2014/04/24 23:24:28,6,Tommy Medica
3,2014/04/24 23:24:28,7,3-2 in OT
3,2014/04/24 23:24:28,8,Jamal Crawford
3,2014/04/24 23:24:28,9,#SnapchatProblems
3,2014/04/24 23:24:28,10,#ouchcouch
4,2014/04/24 23:33:43,1,Saw 7
4,2014/04/24 23:33:43,2,James Sheppard
4,2014/04/24 23:33:43,3,#whereislavernecox
4,2014/04/24 23:33:43,4,#HappyBDayMrsEspinosa
4,2014/04/24 23:33:43,5,Blue Hill Avenue
4,2014/04/24 23:33:43,6,#FeelBetterJacob
4,2014/04/24 23:33:43,7,#letniallsleep
4,2014/04/24 23:33:43,8,Full Court Shot
4,2014/04/24 23:33:43,9,#ouchcouch
4,2014/04/24 23:33:43,10,Reggie Bullock
5,2014/04/24 23:42:58,1,Enzo
5,2014/04/24 23:42:58,2,#WeMissYouChris
5,2014/04/24 23:42:58,3,#LameOfficeHolidays
5,2014/04/24 23:42:58,4,#feelbettercam
5,2014/04/24 23:42:58,5,#whereislavernecox
5,2014/04/24 23:42:58,6,Scott Brooks
5,2014/04/24 23:42:58,7,Marc Anthony
5,2014/04/24 23:42:58,8,#letniallsleep
5,2014/04/24 23:42:58,9,Harrison Barnes
5,2014/04/24 23:42:58,10,Juan Uribe
6,2014/04/24 23:50:06,1,#WeMissYouChris
6,2014/04/24 23:50:06,2,#LameOfficeHolidays
6,2014/04/24 23:50:06,3,#HappyBDayMrsEspinosa
6,2014/04/24 23:50:06,4,Jermaine O'Neal
6,2014/04/24 23:50:06,5,Reggie Miller
6,2014/04/24 23:50:06,6,#letniallsleep
6,2014/04/24 23:50:06,7,#3DaysUntilProblem
6,2014/04/24 23:50:06,8,David Lee
6,2014/04/24 23:50:06,9,Deandre Jordan
6,2014/04/24 23:50:06,10,JJ Redick
7,2014/04/25 00:13:37,1,#WeMissYouChris
7,2014/04/25 00:13:37,2,#LameOfficeHolidays
7,2014/04/25 00:13:37,3,#fallonpanda
7,2014/04/25 00:13:37,4,McGinn
7,2014/04/25 00:13:37,5,Mike Brown
7,2014/04/25 00:13:37,6,#letniallsleep
7,2014/04/25 00:13:37,7,Matt Nieto
7,2014/04/25 00:13:37,8,#KeepItDownColombia
7,2014/04/25 00:13:37,9,Aeropostale
7,2014/04/25 00:13:37,10,Based God or Jody HighRoller
8,2014/04/25 00:20:45,1,#LameOfficeHolidays
8,2014/04/25 00:20:45,2,#fallonpanda
8,2014/04/25 00:20:45,3,Best of 3
8,2014/04/25 00:20:45,4,In N Out 3x3 Burger with Cheesy Fries
8,2014/04/25 00:20:45,5,#letniallsleep
8,2014/04/25 00:20:45,6,#LetTheBoysSleep
8,2014/04/25 00:20:45,7,Justin Williams
8,2014/04/25 00:20:45,8,#KeepItDownColombia
8,2014/04/25 00:20:45,9,Sheila E
8,2014/04/25 00:20:45,10,Last Day Of School Imma Be Like
9,2014/04/25 00:27:53,1,#LameOfficeHolidays
9,2014/04/25 00:27:53,2,#fallonpanda
9,2014/04/25 00:27:53,3,Niemi
9,2014/04/25 00:27:53,4,4-2 Kings
9,2014/04/25 00:27:53,5,#letniallsleep
9,2014/04/25 00:27:53,6,#LetTheBoysSleep
9,2014/04/25 00:27:53,7,Justin Williams
9,2014/04/25 00:27:53,8,#KeepItDownColombia
9,2014/04/25 00:27:53,9,Tyler Toffoli
9,2014/04/25 00:27:53,10,Blake Griffin
10,2014/04/25 00:37:08,1,Flagrant 2
10,2014/04/25 00:37:08,2,#LameOfficeHolidays
10,2014/04/25 00:37:08,3,#fallonpanda
10,2014/04/25 00:37:08,4,Los Osos High School Swim & Dive
10,2014/04/25 00:37:08,5,#FreeMattCooke
10,2014/04/25 00:37:08,6,Blake Griffen
10,2014/04/25 00:37:08,7,Deandre Jordan
10,2014/04/25 00:37:08,8,#letniallsleep
10,2014/04/25 00:37:08,9,#KeepItDownColombia
10,2014/04/25 00:37:08,10,Draymond Green
11,2014/04/25 00:42:09,1,Flagrant 2
11,2014/04/25 00:42:09,2,#LameOfficeHolidays
11,2014/04/25 00:42:09,3,#fallonpanda
11,2014/04/25 00:42:09,4,Los Osos High School Swim & Dive
11,2014/04/25 00:42:09,5,#WWATOURSTARTSTOMORROW
11,2014/04/25 00:42:09,6,"""Flopper"""
11,2014/04/25 00:42:09,7,Reggie Miller
11,2014/04/25 00:42:09,8,#letniallsleep
11,2014/04/25 00:42:09,9,#KeepItDownColombia
11,2014/04/25 00:42:09,10,Draymond Green
12,2014/04/25 00:47:09,1,Flagrant 2
12,2014/04/25 00:47:09,2,#LameOfficeHolidays
12,2014/04/25 00:47:09,3,#fallonpanda
12,2014/04/25 00:47:09,4,Los Osos High School Swim & Dive
12,2014/04/25 00:47:09,5,#whereislavernecox
12,2014/04/25 00:47:09,6,Matt Barnes
12,2014/04/25 00:47:09,7,#letniallsleep
12,2014/04/25 00:47:09,8,#KeepItDownColombia
12,2014/04/25 00:47:09,9,Draymond Green
12,2014/04/25 00:47:09,10,Blake Griffin
13,2014/04/25 01:03:10,1,#LameOfficeHolidays
13,2014/04/25 01:03:10,2,#fallonpanda
13,2014/04/25 01:03:10,3,#whereislavernecox
13,2014/04/25 01:03:10,4,Matt Barnes
13,2014/04/25 01:03:10,5,#teamsexy
13,2014/04/25 01:03:10,6,#letniallsleep
13,2014/04/25 01:03:10,7,Stalock
13,2014/04/25 01:03:10,8,Jamal Crawford
13,2014/04/25 01:03:10,9,Curry to Iggy
13,2014/04/25 01:03:10,10,Prince Royce
14,2014/04/25 01:08:10,1,Chris Perez
14,2014/04/25 01:08:10,2,#LameOfficeHolidays
14,2014/04/25 01:08:10,3,#fallonpanda
14,2014/04/25 01:08:10,4,#whereislavernecox
14,2014/04/25 01:08:10,5,Matt Barnes
14,2014/04/25 01:08:10,6,#teamsexy
14,2014/04/25 01:08:10,7,Draymond Green
14,2014/04/25 01:08:10,8,#letniallsleep
14,2014/04/25 01:08:10,9,Glen Davis
14,2014/04/25 01:08:10,10,Curry to Iggy
15,2014/04/25 01:15:19,1,The Splash Brothers
15,2014/04/25 01:15:19,2,Brad Stuart
15,2014/04/25 01:15:19,3,#LameOfficeHolidays
15,2014/04/25 01:15:19,4,#fallonpanda
15,2014/04/25 01:15:19,5,#whereislavernecox
15,2014/04/25 01:15:19,6,#SmileJacob
15,2014/04/25 01:15:19,7,Clay Thompson
15,2014/04/25 01:15:19,8,#letniallsleep
15,2014/04/25 01:15:19,9,My Sisters Keeper
15,2014/04/25 01:15:19,10,Curry 3
16,2014/04/25 01:20:20,1,#LameOfficeHolidays
16,2014/04/25 01:20:20,2,#fallonpanda
16,2014/04/25 01:20:20,3,Carlos Ruiz
16,2014/04/25 01:20:20,4,Chris Paul
16,2014/04/25 01:20:20,5,Answer for $300
16,2014/04/25 01:20:20,6,#SmileJacob
16,2014/04/25 01:20:20,7,Clay Thompson
16,2014/04/25 01:20:20,8,#letniallsleep
16,2014/04/25 01:20:20,9,Brian Wilson
16,2014/04/25 01:20:20,10,#itsalouisthingduh
17,2014/04/25 02:22:53,1,#LameOfficeHolidays
17,2014/04/25 02:22:53,2,#BeyondScaredStraight
17,2014/04/25 02:22:53,3,Inside the NBA
17,2014/04/25 02:22:53,4,#betch
17,2014/04/25 02:22:53,5,Mathew
17,2014/04/25 02:22:53,6,#smilejacob
17,2014/04/25 02:22:53,7,On God
17,2014/04/25 02:22:53,8,#WeCantDateIf
17,2014/04/25 02:22:53,9,Shaq and Barkley
17,2014/04/25 02:22:53,10,Pootie Tang
18,2014/04/25 02:27:55,1,#LameOfficeHolidays
18,2014/04/25 02:27:55,2,#BeyondScaredStraight
18,2014/04/25 02:27:55,3,Inside the NBA
18,2014/04/25 02:27:55,4,#betch
18,2014/04/25 02:27:55,5,Mathew
18,2014/04/25 02:27:55,6,#smilejacob
18,2014/04/25 02:27:55,7,On God
18,2014/04/25 02:27:55,8,#WeCantDateIf
18,2014/04/25 02:27:55,9,Shaq and Barkley
18,2014/04/25 02:27:55,10,Pootie Tang
19,2014/04/25 02:51:37,1,Cali
19,2014/04/25 02:51:37,2,FaceTime
19,2014/04/25 02:51:37,3,#LameOfficeHolidays
19,2014/04/25 02:51:37,4,Thirsty Thursday
19,2014/04/25 02:51:37,5,#ClipperNation
19,2014/04/25 02:51:37,6,Netflix
19,2014/04/25 02:51:37,7,Inside the NBA
19,2014/04/25 02:51:37,8,#SmileJacob
19,2014/04/25 02:51:37,9,#BeyondScaredStraight
19,2014/04/25 02:51:37,10,#WeCantDateIf
20,2014/04/25 02:58:45,1,Cali
20,2014/04/25 02:58:45,2,Steven Tyler
20,2014/04/25 02:58:45,3,#LameOfficeHolidays
20,2014/04/25 02:58:45,4,#fallonpanda
20,2014/04/25 02:58:45,5,Thirsty Thursday
20,2014/04/25 02:58:45,6,Netflix
20,2014/04/25 02:58:45,7,Inside the NBA
20,2014/04/25 02:58:45,8,#ArmenianGenocide
20,2014/04/25 02:58:45,9,#SmileJacob
20,2014/04/25 02:58:45,10,#XULA18
21,2014/04/25 03:05:53,1,#LameOfficeHolidays
21,2014/04/25 03:05:53,2,#fallonpanda
21,2014/04/25 03:05:53,3,#latenightthoughts
21,2014/04/25 03:05:53,4,Netflix
21,2014/04/25 03:05:53,5,Inside the NBA
21,2014/04/25 03:05:53,6,#SmileJacob
21,2014/04/25 03:05:53,7,Thirsty Thursday
21,2014/04/25 03:05:53,8,The Other Woman
21,2014/04/25 03:05:53,9,Taco Bell
21,2014/04/25 03:05:53,10,#XULA18
22,2014/04/25 03:10:53,1,FaceTime
22,2014/04/25 03:10:53,2,#LameOfficeHolidays
22,2014/04/25 03:10:53,3,#fallonpanda
22,2014/04/25 03:10:53,4,Netflix
22,2014/04/25 03:10:53,5,#BeyondScaredStraight
22,2014/04/25 03:10:53,6,#latenightthoughts
22,2014/04/25 03:10:53,7,Cali
22,2014/04/25 03:10:53,8,Taco Bell
22,2014/04/25 03:10:53,9,#cantsleep
22,2014/04/25 03:10:53,10,The Other Woman
23,2014/04/25 03:36:27,1,Waffle House
23,2014/04/25 03:36:27,2,#LameOfficeHolidays
23,2014/04/25 03:36:27,3,#fallonpanda
23,2014/04/25 03:36:27,4,#latenightthoughts
23,2014/04/25 03:36:27,5,Netflix
23,2014/04/25 03:36:27,6,#nursingfacultyjobs
23,2014/04/25 03:36:27,7,The Rubik's Cube
23,2014/04/25 03:36:27,8,Cali
23,2014/04/25 03:36:27,9,#teamnosleep
23,2014/04/25 03:36:27,10,Taco Bell
24,2014/04/25 04:19:51,1,Waffle House
24,2014/04/25 04:19:51,2,#insomnia
24,2014/04/25 04:19:51,3,#LameOfficeHolidays
24,2014/04/25 04:19:51,4,Apple iPod Shuffle - 39%
24,2014/04/25 04:19:51,5,Bali
24,2014/04/25 04:19:51,6,#latenightthoughts
24,2014/04/25 04:19:51,7,Netflix
24,2014/04/25 04:19:51,8,#teamnosleep
24,2014/04/25 04:19:51,9,#cantsleep
24,2014/04/25 04:19:51,10,Virgin Australia
25,2014/04/25 04:24:52,1,#fallonpanda
25,2014/04/25 04:24:52,2,Waffle House
25,2014/04/25 04:24:52,3,#insomnia
25,2014/04/25 04:24:52,4,#LameOfficeHolidays
25,2014/04/25 04:24:52,5,Virgin Australia
25,2014/04/25 04:24:52,6,Bali
25,2014/04/25 04:24:52,7,#latenightthoughts
25,2014/04/25 04:24:52,8,Netflix
25,2014/04/25 04:24:52,9,#cantsleep
25,2014/04/25 04:24:52,10,Apple iPod Shuffle - 39%
26,2014/04/25 04:29:52,1,NyQuil
26,2014/04/25 04:29:52,2,Waffle House
26,2014/04/25 04:29:52,3,#insomnia
26,2014/04/25 04:29:52,4,#LameOfficeHolidays
26,2014/04/25 04:29:52,5,Apple iPod Shuffle - 39%
26,2014/04/25 04:29:52,6,#latenightthoughts
26,2014/04/25 04:29:52,7,Netflix
26,2014/04/25 04:29:52,8,#teamnosleep
26,2014/04/25 04:29:52,9,#cantsleep
26,2014/04/25 04:29:52,10,Virgin Australia
27,2014/04/25 04:37:00,1,Nyquil
27,2014/04/25 04:37:00,2,Waffle House
27,2014/04/25 04:37:00,3,#insomnia
27,2014/04/25 04:37:00,4,#LameOfficeHolidays
27,2014/04/25 04:37:00,5,Apple iPod Shuffle - 39%
27,2014/04/25 04:37:00,6,#latenightthoughts
27,2014/04/25 04:37:00,7,Netflix
27,2014/04/25 04:37:00,8,#teamnosleep
27,2014/04/25 04:37:00,9,#cantsleep
27,2014/04/25 04:37:00,10,Virgin Australia
28,2014/04/25 04:42:00,1,NyQuil
28,2014/04/25 04:42:00,2,Waffle House
28,2014/04/25 04:42:00,3,#insomnia
28,2014/04/25 04:42:00,4,#LameOfficeHolidays
28,2014/04/25 04:42:00,5,Apple iPod Shuffle - 39%
28,2014/04/25 04:42:00,6,Bali
28,2014/04/25 04:42:00,7,#latenightthoughts
28,2014/04/25 04:42:00,8,Netflix
28,2014/04/25 04:42:00,9,#teamnosleep
28,2014/04/25 04:42:00,10,#cantsleep
29,2014/04/25 04:47:01,1,NyQuil
29,2014/04/25 04:47:01,2,Waffle House
29,2014/04/25 04:47:01,3,#insomnia
29,2014/04/25 04:47:01,4,#LameOfficeHolidays
29,2014/04/25 04:47:01,5,Apple iPod Shuffle - 39%
29,2014/04/25 04:47:01,6,#latenightthoughts
29,2014/04/25 04:47:01,7,Netflix
29,2014/04/25 04:47:01,8,#teamnosleep
29,2014/04/25 04:47:01,9,#cantsleep
29,2014/04/25 04:47:01,10,IHOP
30,2014/04/25 04:52:02,1,NyQuil
30,2014/04/25 04:52:02,2,Waffle House
30,2014/04/25 04:52:02,3,#insomnia
30,2014/04/25 04:52:02,4,#LameOfficeHolidays
30,2014/04/25 04:52:02,5,Apple iPod Shuffle - 39%
30,2014/04/25 04:52:02,6,#latenightthoughts
30,2014/04/25 04:52:02,7,Netflix
30,2014/04/25 04:52:02,8,#teamnosleep
30,2014/04/25 04:52:02,9,#cantsleep
30,2014/04/25 04:52:02,10,IHOP
31,2014/04/25 04:57:02,1,NyQuil
31,2014/04/25 04:57:02,2,#insomnia
31,2014/04/25 04:57:02,3,#LameOfficeHolidays
